lambda,count
555,2.55E+03
556,2.84E+03
557,3.21E+03
558,3.28E+03
559,3.30E+03
560,3.49E+03
561,3.80E+03
562,3.60E+03
563,3.82E+03
564,3.77E+03
565,3.83E+03
566,3.76E+03
567,3.53E+03
568,3.56E+03
569,3.51E+03
570,3.36E+03
571,3.22E+03
572,2.94E+03
573,2.91E+03
574,2.67E+03
575,2.59E+03
576,2.47E+03
577,2.39E+03
578,2.18E+03
579,2.10E+03
580,1.99E+03
581,1.87E+03
582,1.84E+03
583,1.73E+03
584,1.57E+03
585,1.49E+03
586,1.54E+03
587,1.45E+03
588,1.27E+03
589,1.25E+03
590,1.23E+03
591,1.16E+03
592,1.11E+03
593,1.12E+03
594,1.02E+03
595,9.94E+02
596,9.40E+02
597,9.00E+02
598,9.72E+02
599,9.15E+02
600,9.00E+02
601,8.97E+02
602,8.53E+02
603,8.24E+02
604,8.81E+02
605,7.79E+02
606,8.12E+02
607,8.33E+02
608,7.80E+02
609,8.26E+02
610,7.18E+02
611,6.94E+02
612,6.95E+02
613,6.26E+02
614,6.19E+02
615,5.78E+02
616,5.43E+02
617,4.94E+02
618,4.65E+02
619,4.86E+02
620,4.46E+02
621,4.30E+02
622,4.10E+02
623,4.04E+02
624,3.07E+02
625,3.35E+02
626,3.23E+02
627,2.75E+02
628,2.48E+02
629,2.79E+02
630,2.20E+02
631,1.86E+02
632,2.11E+02
633,1.63E+02
634,1.82E+02
635,1.82E+02
636,1.41E+02
637,1.47E+02
638,1.13E+02
639,1.11E+02
640,8.90E+01
641,9.50E+01
642,1.00E+02
643,6.90E+01
644,7.30E+01
645,7.00E+01
646,6.50E+01
647,7.10E+01
648,7.90E+01
649,4.20E+01
650,5.60E+01
651,5.40E+01
652,5.10E+01
653,7.00E+01
654,3.20E+01
655,4.10E+01
656,2.40E+01
657,4.30E+01
658,2.70E+01
659,3.30E+01
660,3.20E+01
661,2.60E+01
662,2.30E+01
663,1.80E+01
664,2.40E+01
665,2.70E+01
666,9.00E+00
667,1.40E+01
668,1.70E+01
669,1.20E+01
670,1.30E+01
671,1.50E+01
672,1.20E+01
673,1.00E+01
674,1.20E+01
675,5.00E+00
676,3.00E+00
677,8.00E+00
678,5.00E+00
679,4.00E+00
680,4.00E+00
681,8.00E+00
682,8.00E+00
683,5.00E+00
684,4.00E+00
685,0.00E+00
686,8.00E+00
687,2.00E+00
688,4.00E+00
689,3.00E+00
690,2.00E+00
691,3.00E+00
692,0.00E+00
693,1.00E+00
694,1.00E+00
695,0.00E+00
696,2.00E+00
697,1.00E+00
698,1.00E+00
699,2.00E+00
700,4.00E+00